"sort_order","recipe_key","zh_name","en_name","cuisine_key","meal_type","difficulty","total_minutes","minimum_required_ingredients","target_tutorial_step_range","recipe_steps_status","tutorial_steps_status","needs_review","notes"
"159","gochujang_tofu_rice_bowl","辣酱豆腐饭","Gochujang Tofu Rice Bowl","western_simple","rice_bowl","beginner","18","rice, tofu, gochujang","8-14","todo","todo","false",""
"160","curry_egg_fried_rice","咖喱鸡蛋炒饭","Curry Egg Fried Rice","western_simple","fried_rice","beginner","16","rice, egg, curry_blocks","8-14","todo","todo","false",""
"161","air_fryer_chicken_potato","空气炸锅鸡肉土豆","Air Fryer Chicken Potato","western_simple","air_fryer","normal","28","chicken_thigh, potato","4-6","todo","todo","false",""
"162","air_fryer_tofu_broccoli","空气炸锅豆腐西兰花","Air Fryer Tofu Broccoli","western_simple","air_fryer","beginner","22","tofu, broccoli","4-6","todo","todo","false",""
"163","air_fryer_sweet_potato_egg","空气炸锅红薯鸡蛋盘","Air Fryer Sweet Potato Egg Plate","western_simple","air_fryer","beginner","25","sweet_potato, egg","4-6","todo","todo","false",""
"164","tuna_potato_salad","金枪鱼土豆沙拉","Tuna Potato Salad","western_simple","salad_light","beginner","20","canned_tuna, potato, cucumber","4-6","todo","todo","false",""
"165","cold_tofu_cucumber_salad","黄瓜拌豆腐","Cold Tofu Cucumber Salad","chinese_home","salad_light","beginner","8","tofu, cucumber","4-6","todo","todo","false",""
"166","tomato_cucumber_salad","番茄黄瓜沙拉","Tomato Cucumber Salad","chinese_home","salad_light","beginner","6","tomato, cucumber","4-6","todo","todo","false",""
"167","avocado_egg_salad_toast","牛油果鸡蛋沙拉吐司","Avocado Egg Salad Toast","western_simple","sandwich_wrap","beginner","12","bread, avocado, egg","4-6","todo","todo","false",""
"168","chickpea_spinach_stew","鹰嘴豆菠菜炖菜","Chickpea Spinach Stew","western_simple","soup_stew","beginner","22","canned_chickpeas, spinach, canned_tomato","8-14","todo","todo","false",""
"169","black_bean_tomato_rice","黑豆番茄饭","Black Bean Tomato Rice","western_simple","rice_bowl","beginner","20","rice, canned_black_beans, tomato","8-14","todo","todo","false",""
"170","kidney_bean_corn_rice_bowl","红腰豆玉米饭碗","Kidney Bean Corn Rice Bowl","western_simple","rice_bowl","beginner","18","rice, canned_kidney_beans, canned_corn","8-14","todo","todo","false",""
"171","canned_mushroom_pasta","罐头蘑菇意面","Canned Mushroom Pasta","western_simple","pasta","beginner","18","pasta, canned_mushroom, pasta_sauce","8-14","todo","todo","false",""
"172","spinach_garlic_pasta","蒜香菠菜意面","Spinach Garlic Pasta","western_simple","pasta","beginner","18","pasta, spinach, garlic","8-14","todo","todo","false",""
"173","eggplant_tomato_pasta","茄子番茄意面","Eggplant Tomato Pasta","western_simple","pasta","normal","25","pasta, eggplant, canned_tomato","8-14","todo","todo","false",""
"174","zucchini_tomato_pasta","西葫芦番茄意面","Zucchini Tomato Pasta","western_simple","pasta","beginner","22","pasta, zucchini, tomato","8-14","todo","todo","false",""
"175","tuna_spinach_pasta","金枪鱼菠菜意面","Tuna Spinach Pasta","western_simple","pasta","beginner","20","pasta, canned_tuna, spinach","8-14","todo","todo","false",""
"176","chicken_tomato_pasta","鸡肉番茄意面","Chicken Tomato Pasta","western_simple","pasta","normal","28","pasta, chicken_breast, canned_tomato","8-14","todo","todo","false",""
"177","salmon_rice_bowl","三文鱼饭碗","Salmon Rice Bowl","western_simple","rice_bowl","normal","22","rice, salmon, cucumber","8-14","todo","todo","false",""
"178","shrimp_avocado_wrap","虾仁牛油果卷饼","Shrimp Avocado Wrap","western_simple","sandwich_wrap","beginner","18","tortilla, shrimp, avocado","4-6","todo","todo","false",""
"179","tofu_lettuce_wrap","豆腐生菜卷","Tofu Lettuce Wrap","western_simple","sandwich_wrap","beginner","15","tortilla, tofu, lettuce","4-6","todo","todo","false",""
"180","egg_lettuce_toast","鸡蛋生菜吐司","Egg Lettuce Toast","western_simple","sandwich_wrap","beginner","10","bread, egg, lettuce","4-6","todo","todo","false",""
"181","banana_apple_oat_bowl","香蕉苹果燕麦碗","Banana Apple Oat Bowl","western_simple","microwave","beginner","8","oats, banana, apple","4-6","todo","todo","false",""
"182","peanut_raisin_oats","花生酱葡萄干燕麦","Peanut Raisin Oats","western_simple","microwave","beginner","7","oats, peanut_butter, raisins","4-6","todo","todo","false",""
"183","orange_chicken_salad","橙香鸡胸沙拉","Orange Chicken Salad","western_simple","salad_light","normal","20","chicken_breast, orange, lettuce","4-6","todo","todo","false",""
"184","grape_chicken_salad","葡萄鸡胸沙拉","Grape Chicken Salad","western_simple","salad_light","normal","20","chicken_breast, grapes, lettuce","4-6","todo","todo","false",""
"185","pear_tuna_salad","梨子金枪鱼沙拉","Pear Tuna Salad","western_simple","salad_light","beginner","10","canned_tuna, pear, lettuce","4-6","todo","todo","false",""
"186","pineapple_chicken_rice","菠萝鸡肉饭","Pineapple Chicken Rice","western_simple","rice_bowl","normal","25","rice, chicken_breast, canned_pineapple","8-14","todo","todo","false",""
"187","cabbage_sausage_rice","卷心菜香肠饭","Cabbage Sausage Rice","western_simple","rice_bowl","beginner","20","rice, sausage, cabbage","8-14","todo","todo","false",""
"188","bacon_egg_fried_rice","培根鸡蛋炒饭","Bacon Egg Fried Rice","western_simple","fried_rice","beginner","15","rice, bacon, egg","8-14","todo","todo","false",""
"189","chicken_wings_potato_pan","鸡翅土豆锅","Chicken Wings Potato Pan","chinese_home","stir_fry","normal","35","chicken_wings, potato","12-18","todo","todo","false",""
"190","rice_cooker_drumstick_soy_chicken","电饭煲酱油鸡腿饭","Rice Cooker Soy Drumstick Rice","chinese_home","rice_cooker","normal","45","rice, chicken_drumstick, ginger","12-18","todo","todo","false",""
"191","pork_chop_onion_pan","洋葱猪排饭","Pork Chop Onion Rice Plate","western_simple","rice_bowl","normal","30","rice, pork_chop, onion","8-14","todo","todo","false",""
"192","turkey_breast_cucumber_wrap","火鸡胸黄瓜卷饼","Turkey Breast Cucumber Wrap","western_simple","sandwich_wrap","beginner","15","tortilla, turkey_breast, cucumber","4-6","todo","todo","false",""
"193","scallop_corn_egg_stir_fry","扇贝玉米滑蛋","Scallop Corn Egg Stir Fry","cantonese","stir_fry","normal","18","scallops, corn, egg","8-14","todo","todo","false",""
"194","imitation_crab_cucumber_egg_bowl","蟹肉棒黄瓜鸡蛋饭","Imitation Crab Cucumber Egg Bowl","cantonese","rice_bowl","beginner","15","rice, imitation_crab, cucumber, egg","8-14","todo","todo","false",""
"195","cod_broccoli_rice_bowl","鳕鱼西兰花饭","Cod Broccoli Rice Bowl","western_simple","rice_bowl","normal","25","rice, cod, broccoli","8-14","todo","todo","false",""
"196","frozen_corn_egg_soup","冷冻玉米蛋花汤","Frozen Corn Egg Soup","chinese_home","soup_stew","beginner","12","frozen_corn, egg","8-14","todo","todo","false",""
"197","frozen_mixed_vegetable_tofu","冷冻杂蔬炒豆腐","Frozen Mixed Vegetable Tofu","chinese_home","stir_fry","beginner","15","frozen_mixed_vegetables, tofu","4-6","todo","todo","false",""
"198","frozen_pea_chicken_fried_rice","冷冻豌豆鸡肉炒饭","Frozen Pea Chicken Fried Rice","chinese_home","fried_rice","beginner","18","rice, frozen_peas, chicken_breast","8-14","todo","todo","false",""
"199","canned_mushroom_tofu_rice","罐头蘑菇豆腐饭","Canned Mushroom Tofu Rice Bowl","chinese_home","rice_bowl","beginner","18","rice, canned_mushroom, tofu","8-14","todo","todo","false",""
"200","lemon_garlic_white_fish","柠檬蒜香白鱼","Lemon Garlic White Fish","western_simple","stir_fry","normal","20","white_fish, lemon, garlic","8-14","todo","todo","false",""
